leaf: node number,"('min', 'cvrmse')","('max', 'cvrmse')",leaf: cvrmse,path: variable door_in,path: variable door_out,path: variable window_in,path: variable window_out,observations
node71,18.92592911,26.08788649,21.276,"[0, 0.00102]","[0.0025, 0.00324]","[0, 0.00472]",[],14
node72,21.38242828,29.55995432,23.978,"[0, 0.00102]","[0.00324, 0.00398]","[0, 0.00472]",[],14
node88,21.59312986,36.23542776,25.406,"[0.00102, ' ']","[0.00398, 0.0062]","[0.00472, ' ']",[],72
node41,18.32343717,35.95837338,25.766,"[0, 0.00176]","[0.00176, 0.0025]","[0, 0.00324]",[],15
node103,23.32548297,30.49573357,26.063,"[0.00472, ' ']","[0.0062, ' ']","[0.0025, ' ']",[],18
node77,17.67969391,56.84861576,27.042,"[0.00102, ' ']","[0.0025, 0.0062]","[0, 0.00472]",[],280
node84,22.51365473,35.47141813,27.112,"[0, 0.00398]","[0.00324, 0.00398]","[0.00472, ' ']",[],18
node87,23.7024459,37.76497801,29.562,"[0, 0.00102]","[0.00398, 0.0062]","[0.00472, ' ']",[],18
node73,24.69089332,37.60251243,30.351,"[0, 0.00102]","[0.00398, 0.00472]","[0, 0.00472]",[],14
node102,27.21437429,35.33801067,30.903,"[0.00324, 0.00472]","[0.0062, ' ']","[0.0025, ' ']",[],12
node100,27.27155024,36.58919247,31.721,"[0.00472, ' ']","[0.0062, ' ']","[0, 0.0025]",[],12
node80,26.03533353,45.7565972,35.179,"[0, 0.00324]","[0.0025, 0.00324]","[0.00472, ' ']",[],15
node42,26.24892637,45.19471538,35.5,"[0.00176, 0.00324]","[0.00176, 0.0025]","[0, 0.00324]",[],10
node96,31.02712202,41.48695279,35.969,"[0.00102, 0.00324]","[0.0062, ' ']","[0.00324, ' ']",[],15
node76,30.51093822,44.86956748,37.526,"[0, 0.00102]","[0.00472, 0.0062]","[0.00176, 0.00472]",[],16
node99,34.35009189,42.00076393,38.098,"[0.00324, 0.00472]","[0.0062, ' ']","[0, 0.0025]",[],8
node85,33.07341913,49.63658222,41.161,"[0.00398, ' ']","[0.00324, 0.00398]","[0.00472, ' ']",[],12
node38,28.09845126,55.4392882,41.426,"[0, 0.00176]","[0.00102, 0.00176]","[0, 0.00324]",[],15
node95,37.84598642,46.85495262,42.227,"[0, 0.00102]","[0.0062, ' ']","[0.00324, ' ']",[],10
node48,31.1093729,54.63778403,42.545,"[0, 0.00176]","[0.00176, 0.0025]","[0.00324, ' ']",[],15
node93,37.88768734,50.38405606,43.995,"[0.00102, 0.00324]","[0.0062, ' ']","[0, 0.00324]",[],15
node75,37.38176432,50.82454936,44.148,"[0, 0.00102]","[0.00472, 0.0062]","[0, 0.00176]",[],12
node60,34.8894968,60.05037313,47.327,"[0.00324, 0.00546]","[0.00176, 0.0025]","[0, 0.00324]",[],15
node92,45.87831037,56.08841105,50.918,"[0, 0.00102]","[0.0062, ' ']","[0, 0.00324]",[],10
node49,44.22146448,64.48128794,54.286,"[0.00176, 0.00324]","[0.00176, 0.0025]","[0.00324, ' ']",[],10
node81,43.14608804,67.37869504,55.112,"[0.00324, ' ']","[0.0025, 0.00324]","[0.00472, ' ']",[],15
node39,43.74949642,66.95695999,55.297,"[0.00176, 0.00324]","[0.00102, 0.00176]","[0, 0.00324]",[],10
node61,49.48567223,70.29321672,59.862,"[0.00546, ' ']","[0.00176, 0.0025]","[0, 0.00324]",[],10
node45,48.58659946,77.40573772,62.891,"[0, 0.00176]","[0.00102, 0.00176]","[0.00324, ' ']",[],15
node13,48.71860538,82.08140584,65.312,"[0, 0.00176]","[0.00028, 0.00102]","[0, 0.00324]",[],15
node63,53.91474882,79.72332508,66.762,"[0.00324, 0.00546]","[0.00176, 0.0025]","[0.00324, ' ']",[],15
node53,55.14826571,84.6421166,69.851,"[0.00324, 0.00546]","[0.00102, 0.00176]","[0, 0.00324]",[],15
node46,65.5583951,89.12463976,77.32,"[0.00176, 0.00324]","[0.00102, 0.00176]","[0.00324, ' ']",[],10
node64,69.08575803,90.0771277,79.569,"[0.00546, ' ']","[0.00176, 0.0025]","[0.00324, ' ']",[],10
node14,68.75909148,95.77024475,82.248,"[0.00176, 0.00324]","[0.00028, 0.00102]","[0, 0.00324]",[],10
node54,72.79267861,96.58833246,84.682,"[0.00546, ' ']","[0.00102, 0.00176]","[0, 0.00324]",[],10
node16,73.56942249,107.3310318,90.413,"[0, 0.00176]","[0.00028, 0.00102]","[0.00324, ' ']",[],15
node56,77.24667829,106.9439333,92.074,"[0.00324, 0.00546]","[0.00102, 0.00176]","[0.00324, ' ']",[],15
node6,78.25061773,117.429062,97.813,"[0, 0.00176]","[0, 0.00028]","[0, 0.00324]",[],15
node28,82.43330987,116.4931775,99.448,"[0.00324, 0.00546]","[0.00028, 0.00102]","[0, 0.00324]",[],15
node57,95.0644108,118.9279458,106.992,"[0.00546, ' ']","[0.00102, 0.00176]","[0.00324, ' ']",[],10
node17,93.96057531,121.08845,107.517,"[0.00176, 0.00324]","[0.00028, 0.00102]","[0.00324, ' ']",[],10
node29,103.1661484,130.388031,116.774,"[0.00546, ' ']","[0.00028, 0.00102]","[0, 0.00324]",[],10
node7,102.2895574,133.573379,117.926,"[0.00176, 0.00324]","[0, 0.00028]","[0, 0.00324]",[],10
node31,107.7214342,141.8553946,124.78,"[0.00324, 0.00546]","[0.00028, 0.00102]","[0.00324, ' ']",[],15
node9,107.157518,146.465749,126.798,"[0, 0.00176]","[0, 0.00028]","[0.00324, ' ']",[],15
node21,118.4421782,157.8871168,138.159,"[0.00324, 0.00546]","[0, 0.00028]","[0, 0.00324]",[],15
node32,128.505761,155.7601071,142.131,"[0.00546, ' ']","[0.00028, 0.00102]","[0.00324, ' ']",[],10
node10,131.2998605,162.6317787,146.963,"[0.00176, 0.00324]","[0, 0.00028]","[0.00324, ' ']",[],10
node22,142.7751494,174.1399939,158.456,"[0.00546, ' ']","[0, 0.00028]","[0, 0.00324]",[],10
node24,147.4776806,186.9559169,167.214,"[0.00324, 0.00546]","[0, 0.00028]","[0.00324, ' ']",[],15
node25,171.8219581,203.2080894,187.514,"[0.00546, ' ']","[0, 0.00028]","[0.00324, ' ']",[],10
